Original Key,Length,Text,Text Length
train/11August_2010_Wednesday_tagesschau-1,86,und nun die wettervorhersage für morgen donnerstag den zwölften august,70
train/11August_2010_Wednesday_tagesschau-4,126,mancherorts regnet es auch länger und ergiebig auch lokale überschwemmungen sind wieder möglich,95
train/11August_2010_Wednesday_tagesschau-5,168,im nordwesten bleibt es heute nacht meist trocken sonst muss mit teilweise kräftigen schauern gerechnet werden örtlich mit blitz und donner,139
train/11August_2010_Wednesday_tagesschau-6,185,auch am tag gibt es verbreitet zum teil kräftige schauer oder gewitter und in manchen regionen fallen ergiebige regenmengen,123
train/11August_2010_Wednesday_tagesschau-7,71,größere wolkenlücken finden sich vor allem im nordwesten,56
train/11August_2010_Wednesday_tagesschau-9,105,im emsland heute nacht nur neun am oberrhein bis siebzehn grad,62
train/11August_2010_Wednesday_tagesschau-10,168,morgen ähnliche temperaturen wie heute neunzehn bis fünfundzwanzig in der lausitz bis siebenundzwanzig grad,107
train/11August_2010_Wednesday_tagesschau-11,139,am freitag kann es in der osthälfte teilweise länger und kräftig regnen vorsicht hochwassergefahr,97
train/11August_2010_Wednesday_tagesschau-12,87,sonst wechselhaft mit schauern und gewittern die uns auch am wochenende begleiten,81
train/11August_2010_Wednesday_tagesschau-13,48,am temperaturniveau ändert sich wenig,37
train/25October_2010_Monday_tagesschau-14,96,und nun die wettervorhersage für morgen dienstag den sechsundzwanzigsten oktober,80
train/25October_2010_Monday_tagesschau-15,138,das tief über italien sorgt dafür dass es an den alpen in der nacht noch schneit oder regnet,92
train/25October_2010_Monday_tagesschau-16,185,gleichzeitig weitet sich das hoch über der britannie weiter nach osten aus und beschert uns morgen in weiten teilen deutschlands ruhiges teilweise auch freundliches wetter,171
train/25October_2010_Monday_tagesschau-18,226,am tag eine mischung aus sonne wolken und nebel im osten und südosten sowie an der nordsee einzelne schauer gegen abend werden im nordwesten die wolken dichter,159
train/25October_2010_Monday_tagesschau-19,103,im norden und osten weht der wind schwach bis mäßig sonst meist nur schwach am abend frischt er im nordwesten auf,113
train/25October_2010_Monday_tagesschau-20,104,in der nacht sechs grad an der nordsee und minus sechs grad im allgäu,69
train/25October_2010_Monday_tagesschau-21,69,am tag drei grad im berchtesgadener land und elf grad am niederrhein,68
train/25October_2010_Monday_tagesschau-23,72,richtung südosten wolken nebel teilweise auch sonne,51
train/05May_2011_Thursday_tagesschau-26,208,das hoch das morgen über dem östlichen mitteleuropa liegt bestimmt bis mindestens sonntag unser wetter mit viel sonne und steigenden temperaturen,145
train/05May_2011_Thursday_tagesschau-27,121,die trockenheit dauert damit an nur im westen und südwesten sind am sonntag schauer möglich,91
train/05May_2011_Thursday_tagesschau-28,152,heute nacht ist es verbreitet klar nur ein paar dünne schleierwolken ziehen über den norden und die mitte ostwärts,114
train/05May_2011_Thursday_tagesschau-29,231,am tag viel sonne hier und da ein paar dünne schleierwolken am nachmittag bilden sich über den südwestlichen mittelgebirgen und den alpen ein paar quellwolken,158
train/05May_2011_Thursday_tagesschau-30,82,der wind weht meist schwach mitunter auch mal mäßig,51
train/05May_2011_Thursday_tagesschau-31,124,heute nacht sieben grad in aachen und minus zwei grad in den alpentälern,72
train/05May_2011_Thursday_tagesschau-32,105,am tag fünfzehn grad auf rügen und fünfundzwanzig grad am oberrhein,67
train/05May_2011_Thursday_tagesschau-33,123,sonnenscheinreiches wetter am samstag auch am sonntag in weiten teilen deutschlands viel sonne,94
train/05May_2011_Thursday_tagesschau-34,137,im westen und südwesten ist es teilweise wolkiger vereinzelt gibt es schauer oder gewitter,90
train/05May_2011_Thursday_tagesschau-35,141,auch am montag scheint meist die sonne am ehesten kann im äußersten westen vereinzelt mit schauern gerechnet werden,115
train/15December_2010_Wednesday_tagesschau-38,125,starke winde sorgen zudem für schneeverwehungen es bestehen entsprechende unwetterwarnungen des deutschen wetterdienstes,120
train/15December_2010_Wednesday_tagesschau-39,224,heute nacht schneit es zunächst vor allem im süden aber gegen morgen ziehen von nordwesten neuer schnee und auch regen heran und sorgen für gefährliche glätte,158
train/15December_2010_Wednesday_tagesschau-41,119,im nordwesten und westen gibt es vorübergehend auch gefrierenden regen,70
train/15December_2010_Wednesday_tagesschau-42,84,im südosten bleibt es bis zum abend teilweise freundlich und meist trocken,74
train/15December_2010_Wednesday_tagesschau-44,136,heute nacht besonders im osten und süden strenger frost an der nordsee plus ein grad,84
train/15December_2010_Wednesday_tagesschau-45,90,dort morgen plus vier am alpenrand bis minus sieben grad,56
train/15December_2010_Wednesday_tagesschau-46,123,am freitag im osten und am alpenrand noch schnee sonst zum teil freundlich und meist trocken,92
train/15December_2010_Wednesday_tagesschau-47,52,auch am samstag teilweise freundlich,36
train/15December_2010_Wednesday_tagesschau-48,127,gegen abend zieht von westen wieder schnee heran der sich am sonntag weiter ausbreitet,86
train/10March_2011_Thursday_heute-49,45,guten abend liebe zuschauer,27
train/10March_2011_Thursday_heute-50,218,das stürmische wetter ist morgen wieder vorbei und dann kann am wochenende der frühling langsam so ein zartes grün in diese braungrauen landschaften bringen,156
train/10March_2011_Thursday_heute-52,96,heute nacht wird es allerdings noch regnen und zwar in der mitte und im norden deutschlands,91
train/10March_2011_Thursday_heute-53,160,und morgen früh gibt es sogar schneeregen an der nordseeküste ist es kalt genug so wenig über null grad sind es,111
train/10March_2011_Thursday_heute-54,197,und auch tagsüber haben wir diese unterschiede in der temperatur denn im süden wird es wieder mild mit zehn bis vierzehn grad während es an den küsten deutlich kühler bleibt,173
train/10March_2011_Thursday_heute-55,152,aber dort scheint auch mal wieder die sonne wenn es auch am vormittag noch ein paar regenschauer gibt und es ist vor allen dingen noch windig,141
train/10March_2011_Thursday_heute-56,82,stürmische böen gibt es aus westen bis zum nachmittag dann flaut der wind ab,76
train/10March_2011_Thursday_heute-57,178,in der mitte deutschlands da ist es trüb anfangs regnet es noch und im süden haben wir auch sonniges wetter und der wind ist auch nur schwach,141
train/10March_2011_Thursday_heute-59,127,am sonntag dann auch an den küsten langsam wärmer aber erste regenschauer gibt es wohl im nordwesten,100
train/10March_2011_Thursday_heute-60,48,ihnen einen schönen abend und machen sie es gut,47
train/14August_2009_Friday_tagesschau-61,97,und nun die wettervorhersage für morgen samstag den fünfzehnten august,70
train/14August_2009_Friday_tagesschau-64,127,der norden wird allerdings von den wolken eines tiefs bei schottland gestreift,78
train/14August_2009_Friday_tagesschau-65,154,und in küstennähe halten sich heute noch wolken die vor allem richtung dänemark regen bringen,93
train/14August_2009_Friday_tagesschau-66,37,hier und da bilden sich einzelne nebelfelder,44
train/14August_2009_Friday_tagesschau-67,62,im äußersten norden kann es morgen noch etwas regnen,52
train/14August_2009_Friday_tagesschau-68,65,über den alpen sind einzelne schauer oder gewitter möglich,58
train/14August_2009_Friday_tagesschau-69,45,sonst scheint verbreitet die sonne,34
train/14August_2009_Friday_tagesschau-76,104,auch montag und dienstag noch leicht wechselhaft und nicht mehr ganz so warm,76
train/15June_2010_Tuesday_tagesschau-77,80,und nun die wettervorhersage für morgen mittwoch den sechzehnten juni,69
train/15June_2010_Tuesday_tagesschau-78,95,hoher luftdruck zwischen azoren und baltikum bestimmt weiterhin im norden und in der mitte deutschlands das wetter,114
train/15June_2010_Tuesday_tagesschau-79,89,das tief das vom mittelmeer zu den alten zieht sorgt im süden für regenfälle,76
train/15June_2010_Tuesday_tagesschau-80,140,die nacht verläuft meist klar im süden liegen die wolken dichter beieinander stellenweise regnet es,99
train/15June_2010_Tuesday_tagesschau-81,133,am tag muss vor allem zwischen schwarzwald im bayrischem wald mit regen gerechnet werden der kräftig sein kann,110
train/15June_2010_Tuesday_tagesschau-82,67,in der nordhälfte neben lockeren wolken viel sonne,50
train/15June_2010_Tuesday_tagesschau-83,170,im nordosten weht der wind schwach bis mäßig richtung südwesten teilweise frischer bis starker wind mit einzelnen stürmischen böen in den hochlagen auch sturmböen,162
train/15June_2010_Tuesday_tagesschau-84,155,heute nacht fünfzehn grad im breisgau und bis fünf grad im norden,65
train/15June_2010_Tuesday_tagesschau-85,139,am tag sechzehn grad an der ostsee und dort wo es länger regnet sonst bis dreiundzwanzig grad,93
train/15June_2010_Tuesday_tagesschau-86,118,am donnerstag regnet es auch in der mitte im süden außerdem teilweise kräftige gewitter,87
train/15June_2010_Tuesday_tagesschau-87,49,im norden zeigt sich gebietsweise die sonne,43
train/15June_2010_Tuesday_tagesschau-88,154,auch am freitag ist es im norden zum teil freundlich sonst mehr wolken als sonne teilweise gewittrige regenfälle,112
train/15June_2010_Tuesday_tagesschau-89,45,am samstag insgesamt wechselhaftes wetter,41
train/26January_2010_Tuesday_heute-90,54,liebe zuschauer guten abend,27
train/26January_2010_Tuesday_heute-91,80,im norden gab es heute viel sonne aber es war auch ziemlich eisig,65
train/26January_2010_Tuesday_heute-92,73,auf diesem bild von berlin meint man die kälte förmlich zu spüren,65
train/26January_2010_Tuesday_heute-93,184,morgen kommt dann kräftig bewegung ins wetter mit einem tief das uns kräftige schneefälle bringen wird und stürmischem wind,123
train/26January_2010_Tuesday_heute-94,47,und das wird uns bis donnerstag beschäftigen,44
train/26January_2010_Tuesday_heute-95,126,heute nacht wird es aber erst mal kräftig kalt also wer nicht raus muss sollte zu hause bleiben,95
train/26January_2010_Tuesday_heute-96,184,es klart verbreitet auf minus fünfundzwanzig grad können im osten erreicht werden im westen zum teil auch bis minus einundzwanzig grad,134
train/26January_2010_Tuesday_heute-99,123,erste schneeflocken fallen morgen vormittag bereits an der ostsee,65
train/26January_2010_Tuesday_heute-100,48,nachmittags breiten sich die schneefälle weiter richtung nördliche mittelgebirge aus,84
train/26January_2010_Tuesday_heute-101,158,im nordwesten kann eisregen oder regen dabei sein mit gefährlicher straßenglätte,80
train/26January_2010_Tuesday_heute-104,231,im süden wie gesagt bleibt es trocken und die temperaturen die liegen morgen so zwischen minus neun und an der küste auch durchaus bis plus vier grad,149
train/07May_2011_Saturday_tagesschau-108,98,und nun die wettervorhersage für morgen sonntag den achten mai,62
train/07May_2011_Saturday_tagesschau-109,130,auch morgen bestimmt das hoch über skandinavien das wetter in weiten teilen deutschlands,88
train/07May_2011_Saturday_tagesschau-110,200,tiefs über den balkan und dem atlantik lenken wolken in ein paar regionen für schauer reicht es aber nur vereinzelt,115
train/07May_2011_Saturday_tagesschau-111,131,heute nacht ist es klar über die westhälfte ziehen hier und da dünne schleierwolken,83
train/07May_2011_Saturday_tagesschau-112,178,am tag morgen dann wieder viel sonne ganz im westen und südwesten ist es zum teil wolkig schauer oder gewitter gibt es aber nur vereinzelt,138
train/07May_2011_Saturday_tagesschau-114,127,der wind weht schwach bis mäßig im norden frisch mit starken böen an den küsten,79
train/07May_2011_Saturday_tagesschau-115,106,heute nacht fünfzehn grad am niederrhein und bis zu ein grad im osten,69
train/07May_2011_Saturday_tagesschau-116,134,am tag einundzwanzig bis achtundzwanzig grad an der ostsee bleibt es bei seewind kühler,87
train/07May_2011_Saturday_tagesschau-117,160,auch am montag meist sonne hier und da wolken im äußersten westen und nordwesten sind schauer und gewitter möglich,114
train/07May_2011_Saturday_tagesschau-118,113,am dienstag sonne im westen ist es ab und an wolkig mit einzelnen schauern und gewittern,88
train/07May_2011_Saturday_tagesschau-119,107,am mittwoch teils sonne teils wolken schauer und gewitter werden etwas häufiger,79
train/12February_2010_Friday_tagesschau-120,108,und nun die wettervorhersage für morgen samstag den dreizehnten februar,71
train/12February_2010_Friday_tagesschau-121,79,feuchte kalte luft strömt zu uns nach deutschland,49
train/12February_2010_Friday_tagesschau-122,110,dabei lassen die schneefälle allmählich nach am sonntag schneit es kaum noch,76
train/12February_2010_Friday_tagesschau-123,108,in der nacht schneit es stellenweise leicht vor allem an der ostsee auch mäßig,78
train/12February_2010_Friday_tagesschau-124,53,vorsicht wegen straßenglätte,28
train/12February_2010_Friday_tagesschau-128,75,am tag an der see noch frischer wind,36
train/12February_2010_Friday_tagesschau-129,205,heute nacht minus zwei bis minus dreizehn grad am tag im sauerland minus fünf grad an rhein und spree null grad,111
train/12February_2010_Friday_tagesschau-130,216,die aussichten am sonntag nur örtlich etwas schnee am montag ruhiges winterwetter mancherorts scheint die sonne meist ist es aber stark bewölkt oder neblig trüb,160
train/12February_2010_Friday_tagesschau-131,176,am dienstag im nordwesten viele wolken die gebietsweise schnee bringen sonst ist es teilweise freundlich und trocken,116
train/01November_2010_Monday_tagesschau-132,95,und nun die wettervorhersage für morgen dienstag den zweiten november,69
train/01November_2010_Monday_tagesschau-134,182,im nordwesten deutschlands machen sich allerdings tiefausläufer bemerkbar die in den nächsten tagen besonders im norden für regen und wind sorgen werden,152
train/01November_2010_Monday_tagesschau-135,131,in der nordwesthälfte ist es heute nacht meist bedeckt sonst zeigen sich teilweise die sterne,93
train/01November_2010_Monday_tagesschau-138,69,abseits des nebels wird es freundlich mit sonne und wolken,58
train/01November_2010_Monday_tagesschau-139,77,an den alpen ist es stark bewölkt hier und da fallen ein paar tropfen,69
train/01November_2010_Monday_tagesschau-141,103,schwacher im norden mäßiger und an den küsten frischer wind mit starken bis stürmischen böen,92
train/01November_2010_Monday_tagesschau-142,132,heute nacht im norden bis neun am alpenrand kühle zwei grad,59
train/01November_2010_Monday_tagesschau-143,129,morgen temperaturen von neun bis dreizehn am niederrhein bis vierzehn grad,74
train/01November_2010_Monday_tagesschau-144,126,im norden ist es in den kommenden tagen meist stark bewölkt mit regen und windig zum teil auch stürmisch,104
train/01November_2010_Monday_tagesschau-145,70,richtung süden deutlich freundlicher und meist trocken,54
train/01November_2010_Monday_tagesschau-146,37,dabei bleibt es sehr mild,25
train/23February_2011_Wednesday_tagesschau-147,111,und nun die wettervorhersage für morgen donnerstag den vierundzwanzigsten februar,81
